"Reference","Value","Footprint","Qty","DNP","Digikey PN","PN"
"D1,D2","1N4148TR","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","2","","1N4148FSCT-ND","DIO-004"
"D3","SMAJ12A","Diode_SMD:D_SMA_Handsoldering","1","","SMAJ12ALFCT-ND","DIO-014"
"D4,D5","SMA6J5.0A-TR","Diode_SMD:D_SMA_Handsoldering","2","","497-5938-1-ND","DIO-011"
"H1,H2,H3,H4","MountingHole","MountingHole:MountingHole_3.2mm_M3","4","","",""
"J1","1935161.0","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","1","","https://www.aliexpress.us/item/3256805408760426.html","CON-005"
"J2,J3","EB21A-04-C","TerminalBlock:TerminalBlock_bornier-4_P5.08mm","2","","https://www.aliexpress.us/item/3256805408760426.html",""
"JP1","Jumper_2_Bridged","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","","S9337-ND",""
"K1,K2","SRD-12VDC-SL-C","000-Footprints:Relay_SPDT_Songle","2","","https://www.aliexpress.us/item/3256802839040760.html",""
"Q1,Q2","BS170-D26Z","Package_TO_SOT_THT:TO-92_Inline_Wide","2","","BS170-D26ZCT-ND","FET-002"
"Q3","IRFR9024NTRLPBF","Package_TO_SOT_SMD:TO-252-2","1","","IRFR9024NTRLPBFCT-ND","FET-007"
"R1,R2,R3,R4","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal","4","","",""
"S1","EG1224","000-Footprints:SW_E-Switch_EG1224_SPDT_Angled","1","","EG2585-ND","MISC-006"
"TP1,TP2,TP3,TP4,TP5","TestPoint","TestPoint:TestPoint_Pad_1.5x1.5mm","5","","",""
"U1","LM2596","000-Footprints:LM2596Module","1","","https://www.aliexpress.us/item/3256804718557368.html","MISC-009"
"U2","WeMos_D1_mini","000-Footprints:wemos-d1-mini-with-pin-header-and-connector","1","","https://www.aliexpress.us/item/3256805831695231.html",""
